LSOA21CD,LSOA21NM,LSOA21LN,IMDScore,Income,Employment,EducationScore,CrimeScore,LivingEnvironmentScore,POP2022Total,Period_Total_Crimes,Crime_Rate
E01014699,Bristol 036D,Coronation Road West,19.16,19.5,11.2,7.7,0.7,39.0,1606,216,134.49564134495643
E01014700,Bristol 036E,Ashton,6.22,5.8,6.0,3.3,-0.3,28.3,1655,174,105.13595166163142
E01014701,Bristol 036F,Coronation Road East,11.11,9.4,6.5,2.6,-0.1,42.5,1871,75,40.08551576696953
E01014702,Bristol 049A,Stockwood Lane North,10.07,12.1,7.7,16.1,-0.3,9.1,1478,57,38.56562922868741
E01014703,Bristol 049B,Burnbush Hill,36.42,34.7,23.3,45.6,0.9,12.4,1544,152,98.44559585492229
E01014704,Bristol 049C,Woodleigh Gardens,18.63,23.5,13.8,24.3,0.5,10.9,1871,180,96.2052378407269
E01014705,Bristol 049D,The Coots,8.42,14.5,6.5,12.8,-0.7,9.1,1366,62,45.387994143484626
E01014706,Bristol 049E,Burnbush,50.1,41.2,27.5,70.3,1.5,9.9,1378,436,316.40058055152394
E01014707,Bristol 049F,Stockwood Lane South,16.79,14.7,12.6,30.6,0.4,9.2,1614,76,47.08798017348203
E01014708,Bristol 049G,Hazelbury,12.33,13.2,10.3,16.8,-0.1,15.5,1897,126,66.42066420664207
E01014709,Bristol 015A,Sneyd Park and the Downs,8.33,3.8,2.4,2.0,0.6,38.6,1289,256,198.60356865787432
E01014710,Bristol 015B,Rockleaze,3.53,2.2,1.7,3.2,-1.1,28.6,1611,64,39.72687771570453
E01014711,Bristol 015C,Stoke Bishop North,3.5,4.4,6.3,0.2,-0.7,11.0,1350,102,75.55555555555556
E01014712,Bristol 015D,Stoke Bishop South,9.73,12.4,8.6,4.3,0.0,13.7,1290,72,55.81395348837209
E01014713,Bristol 015E,Old Sneed Park,3.63,3.2,4.4,0.9,-1.2,19.6,1370,38,27.737226277372265
E01014714,Bristol 015F,University Halls,2.06,0.9,0.7,0.3,-1.9,21.1,3665,48,13.096862210095498
E01014715,Bristol 009A,Canford Park,2.59,4.0,3.6,0.3,-0.7,18.8,1733,54,31.159838430467396
E01014716,Bristol 009B,Canford Lane,2.17,2.6,2.7,0.3,-1.1,14.6,1575,34,21.58730158730159
E01014717,Bristol 009C,Elmlea,3.19,3.9,3.8,0.2,-2.1,26.3,1708,28,16.393442622950822
E01014718,Bristol 009D,Henbury Hill,2.54,5.1,2.8,0.5,-1.4,14.3,1567,38,24.250159540523292
E01014719,Bristol 006B,Westbury Village,7.07,5.9,5.7,0.5,-0.2,41.1,1469,192,130.7011572498298
